"filename", "language", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\consts.js", "JavaScript JSX", 16, 0, 2, 18
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\main.js", "JavaScript JSX", 58, 12, 12, 82
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\planning.control_levels_consts.js", "JavaScript JSX", 84, 6, 6, 96
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\planning.plan_next_creep.js", "JavaScript JSX", 91, 16, 16, 123
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\planning.plan_next_structure.js", "JavaScript JSX", 62, 7, 9, 78
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\planning.priority.js", "JavaScript JSX", 15, 0, 3, 18
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\roles.constructor.js", "JavaScript JSX", 69, 0, 5, 74
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\roles.harvester.js", "JavaScript JSX", 64, 1, 3, 68
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\roles.renewing.js", "JavaScript JSX", 108, 1, 9, 118
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\roles.repairer.js", "JavaScript JSX", 49, 0, 5, 54
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\roles.role_base.js", "JavaScript JSX", 31, 3, 4, 38
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\roles.role_map.js", "JavaScript JSX", 10, 1, 2, 13
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\roles.upgrader.js", "JavaScript JSX", 45, 0, 5, 50
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\utilities.find_safe_construction_sites.js", "JavaScript JSX", 9, 3, 1, 13
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\utilities.find_safe_sources.js", "JavaScript JSX", 11, 3, 1, 15
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\utilities.get_energy.js", "JavaScript JSX", 14, 4, 1, 19
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\utilities.harvest_safe_source.js", "JavaScript JSX", 15, 4, 2, 21
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\utilities.has_blocked_neighbor.js", "JavaScript JSX", 32, 5, 12, 49
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\utilities.repair.js", "JavaScript JSX", 16, 1, 1, 18
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\utilities.spiral.js", "JavaScript JSX", 26, 3, 12, 41
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\utilities.waste_collection.js", "JavaScript JSX", 9, 0, 1, 10
"Total", "-", 834, 70, 112, 1016
